country,image,gggi2006rank,gggi2006score,gggi2021rank,gggi2021score,epo2006rank,epo2006score,epo2021rank,epo2021score,ea2006rank,ea2006score,ea2021rank,ea2021score,hs2006rank,hs2006score,hs2021rank,hs2021score,pe2006rank,pe2006score,pe2021rank,pe2021score
Malaysia,112,72,0.651,112,0.676,68,0.592,104,0.638,63,0.985,70,0.994,80,0.970,74,0.972,90,0.056,128,0.102
Fiji,113,,,113,0.674,,,127,0.568,,,53,0.997,,,72,0.972,,,95,0.160
Armenia,114,,,114,0.673,,,96,0.655,,,46,0.998,,,150,0.950,,,132,0.091
Malawi,115,81,0.644,115,0.671,36,0.665,111,0.624,96,0.860,129,0.915,106,0.960,1,0.980,68,0.090,93,0.164
Sri Lanka,116,13,0.720,116,0.670,84,0.545,132,0.547,52,0.990,88,0.988,1,0.980,30,0.980,7,0.365,90,0.167
Ghana,117,58,0.665,117,0.666,5,0.753,119,0.598,94,0.868,120,0.951,89,0.969,40,0.978,80,0.071,110,0.135
Guinea,118,,,118,0.660,,,6,0.839,,,153,0.680,,,109,0.966,,,96,0.157
Angola,119,96,0.604,119,0.657,69,0.587,102,0.646,107,0.779,148,0.759,1,0.980,53,0.976,81,0.070,59,0.245
Japan,120,80,0.645,120,0.656,83,0.545,117,0.604,60,0.986,92,0.983,1,0.980,65,0.973,83,0.067,147,0.061
Sierra Leone,121,,,121,0.655,,,56,0.713,,,140,0.860,,,108,0.966,,,136,0.083
Guatemala,122,95,0.607,122,0.655,104,0.443,129,0.560,91,0.895,109,0.969,1,0.980,32,0.979,54,0.110,122,0.112
Benin,123,110,0.578,123,0.653,55,0.618,9,0.814,113,0.643,150,0.733,86,0.969,70,0.973,76,0.082,131,0.093
Burkina Faso,124,104,0.585,124,0.651,49,0.639,77,0.689,112,0.646,139,0.873,68,0.973,43,0.978,74,0.084,145,0.066
Tajikistan,125,,,125,0.650,,,125,0.574,,,124,0.942,,,88,0.969,,,123,0.112
Tunisia,126,90,0.629,126,0.649,97,0.480,144,0.445,76,0.959,108,0.970,98,0.966,91,0.969,53,0.110,69,0.212
Gambia The,127,79,0.645,127,0.644,25,0.688,116,0.607,106,0.809,135,0.891,64,0.974,93,0.968,55,0.109,125,0.112
Maldives,128,,,128,0.642,,,138,0.491,,,1,1.000,,,148,0.955,,,117,0.121
Egypt,129,109,0.579,129,0.639,108,0.416,146,0.421,90,0.903,105,0.973,66,0.974,102,0.968,111,0.022,78,0.196
Bhutan,130,,,130,0.639,,,130,0.556,,,117,0.954,,,131,0.963,,,137,0.082
Jordan,131,93,0.611,131,0.638,105,0.442,133,0.538,70,0.979,84,0.991,62,0.975,145,0.957,100,0.048,144,0.066
Lebanon,132,,,132,0.638,,,139,0.487,,,113,0.964,,,82,0.970,,,112,0.129
Turkey,133,105,0.585,133,0.638,106,0.434,140,0.486,92,0.885,101,0.975,85,0.969,105,0.967,96,0.052,114,0.123
Côte d'Ivoire,134,,,134,0.637,,,90,0.664,,,143,0.828,,,36,0.979,,,139,0.076
Papua New Guinea,135,,,135,0.635,,,79,0.684,,,133,0.895,,,142,0.959,,,155,0.000
Algeria,136,97,0.602,136,0.633,103,0.443,142,0.456,84,0.944,111,0.966,78,0.971,144,0.958,98,0.049,100,0.151
Bahrain,137,102,0.589,137,0.632,111,0.383,134,0.518,54,0.989,90,0.985,104,0.962,143,0.959,110,0.024,143,0.066
Niger,138,,,138,0.629,,,82,0.673,,,151,0.726,,,124,0.964,,,97,0.155
Nigeria,139,94,0.610,139,0.627,59,0.612,78,0.687,104,0.816,146,0.806,99,0.966,104,0.967,99,0.049,149,0.047
India,140,98,0.601,140,0.625,110,0.397,151,0.326,102,0.819,114,0.962,103,0.962,155,0.937,20,0.227,51,0.276
Vanuatu,141,,,141,0.625,,,124,0.576,,,122,0.947,,,61,0.975,,,155,0.000
Qatar,142,,,142,0.624,,,136,0.504,,,86,0.990,,,151,0.948,,,148,0.053
Kuwait,143,86,0.634,143,0.621,72,0.577,137,0.498,41,0.993,59,0.997,105,0.961,94,0.968,114,0.005,153,0.022
Morocco,144,107,0.583,144,0.612,102,0.461,148,0.407,99,0.848,116,0.956,90,0.968,139,0.961,92,0.053,113,0.126
Oman,145,,,145,0.608,,,143,0.453,,,98,0.977,,,138,0.961,,,150,0.041
Mauritania,146,106,0.583,146,0.606,93,0.499,145,0.440,103,0.818,138,0.879,1,0.980,146,0.957,106,0.037,101,0.147
Saudi Arabia,147,114,0.524,147,0.603,115,0.240,149,0.390,93,0.880,97,0.980,54,0.977,123,0.964,115,0.000,138,0.077
Chad,148,113,0.525,148,0.593,65,0.601,73,0.693,115,0.468,155,0.589,56,0.976,81,0.970,91,0.054,119,0.118
Mali,149,99,0.600,149,0.591,35,0.665,141,0.475,111,0.674,149,0.757,91,0.968,141,0.959,67,0.091,87,0.172
Iran Islamic Rep.,150,108,0.580,150,0.582,113,0.359,150,0.375,80,0.954,119,0.953,52,0.978,129,0.963,109,0.031,151,0.036
Congo Democratic Rep.,151,,,151,0.576,,,126,0.571,,,154,0.658,,,51,0.976,,,130,0.099
Syria,152,,,152,0.568,,,153,0.285,,,118,0.953,,,115,0.965,,,142,0.067
Pakistan,153,112,0.543,153,0.556,112,0.369,152,0.316,110,0.706,144,0.811,112,0.951,153,0.944,37,0.148,98,0.154
Iraq,154,,,154,0.535,,,155,0.228,,,145,0.807,,,96,0.968,,,109,0.136
Yemen,155,115,0.459,155,0.492,114,0.253,154,0.282,114,0.598,152,0.717,48,0.979,95,0.968,113,0.008,154,0.001
Afghanistan,156,,,156,0.444,,,156,0.180,,,156,0.514,,,149,0.952,,,111,0.132
